lga_name19,lga_code19,Area,Population
Albury (C),50,64,"51,076"
Armidale Regional (A),130,"8,621","29,449"
Ballina (A),250,484,"41,790"
Balranald (A),300,"21,693","2,287"
Bathurst Regional (A),470,"3,820","41,300"
Bayside (A),500,50,"156,058"
Bega Valley (A),0550,"6,279","33,253"
Bellingen (A),600,"1,602","12,668"
Berrigan (A),650,"2,066","8,462"
Blacktown (C),750,247,"336,962"
Bland (A),800,"8,560","5,995"
Blayney (A),850,"1,525","7,257"
Blue Mountains (C),900,"1,432","76,904"
Bogan (A),950,"14,611","2,692"
Bourke (A),150,"41,679","2,834"
Brewarrina (A),200,"19,88","1,651"
Broken Hill (C),250,70,"17,708"
Burwood (A),300,7,"36,809"
Byron (A),350,567,"31,556"
Cabonne (A),1400,"6,026","13,386"
Camden (A),1450,201,"78,219"
Campbelltown (C) (NSW),1500,312,"157,006"
Canada Bay (A),1520,20,"88,015"
Canterbury-Bankstown (A),1570,72,"346,302"
Carrathool (A),1600,"18,933","2,719"
Central Coast (C) (NSW),1650,"1,681","327,736"
Central Darling (A),1700,"53,511","1,833"
Cessnock (C),1720,"1,966","55,560"
Clarence Valley (A),1730,"10,441","50,671"
Cobar (A),1750,"44,065","4,647"
Coffs Harbour (C),1800,"1,75",72944
Coolamon (A),2000,"2,433","4,315"
Coonamble (A),2150,"9,926","3,918"
Cootamundra-Gundagai Regional (A),2160,"3,981","11,41"
Cowra (A),2350,"2,810","12,460"
Cumberland (A),2380,72,"216,079"
Dubbo Regional (A),2390,"7,536","50,077"
Dungog (A),2700,"2,251","8,975"
Edward River (A),2730,"8,881","8,851"
Eurobodalla (A),2750,"3,428","37,232"
Fairfield (C),2850,02,"198,817"
Federation (A),2870,"5,685","12,777"
Forbes (A),2900,"4,720","9,587"
Georges River (A),2930,38,"146,841"
Gilgandra (A),2950,"4,836","4,236"
Glen Innes Severn (A),3010,"5,487","8,836"
Goulburn Mulwaree (A),3310,"3,220","29,609"
Greater Hume Shire (A),3340,"5,746","10,351"
Griffith (C),3450,"1,640","25,641"
Gunnedah (A),3550,"4,994","12,215"
Gwydir (A),3660,"9,453","5,258"
Hawkesbury (C),3800,"2,793","64,592"
Hay (A),3850,"11,326","2,946"
The Hills Shire (A),7420,401,"157,243"
Hilltops (A),3910,"7,39","18,498"
Hornsby (A),4000,462,"142,667"
Hunters Hill (A),4100,6,"13,999"
Inner West (A),4170,35,"182,043"
Inverell (A),4200,"8,606","16,483"
Junee (A),4300,"2,030","6,295"
Kempsey (A),4350,"3,380","28,885"
Kiama (A),4400,258,"21,464"
Ku-ring-gai (A),4500,86,"118,053"
Kyogle (A),4550,"3,589","8,940"
Lachlan (A),4600,"7,431","6,94"
Lake Macquarie (C),4650,648,"197,371"
Lane Cove (A),4700,1,"36,051"
Leeton (A),4750,"1,67","11,68"
Lismore (C),4850,"1,290","43,35"
Lithgow (C),4870,"4,551","21,090"
Liverpool (C),4900,306,"204,326"
Liverpool Plains (A),4920,"5,086","7,687"
Lockhart (A),4950,"2,895","3,19"
Maitland (C),5050,392,"77,305"
Mid-Coast (A),5240,"10,053","90,303"
Mid-Western Regional (A),5270,"8,737","24,076"
Moree Plains (A),5300,"17,930","13,59"
Mosman (A),5350,9,"28,475"
Murray River (A),5520,"11,865","11,680"
Murrumbidgee (A),5560,"6,880","3,836"
Muswellbrook (A),5650,"3,405","16,086"
Nambucca (A),5700,"1,491","19,212"
Narrabri (A),5750,"4,17","5,853"
Narrandera (A),5800,"13,031","13,084"
Narromine (A),5850,"5,264","6,444"
Newcastle (C),5900,87,"155,411"
North Sydney (A),5950,254,"252,878"
Northern Beaches (A),5990,1,"67,658"
Oberon (A),6100,"3,659","5,301"
Orange (C),6150,285,"40,344"
Parkes (A),6200,"5,958","14,608"
Parramatta (C),6260,82,"226,49"
Penrith (C),6350,405,"196,066"
Port Macquarie-Hastings (A),6380,"3,686","78,539"
Port Stephens (A),6400,979,"69,556"
Queanbeyan-Palerang Regional (A),6490,"8,960","56,027"
Randwick (C),6550,36,"140,660"
Richmond Valley (A),6610,"3,051","22,807"
Ryde (C),6700,41,"116,302"
Shellharbour (C),6900,"4,893","22,987"
Shoalhaven (C),6950,47,"68,460"
Singleton (A),7000,"4,567","99,650"
Snowy Monaro Regional (A),7040,"15,62","20,218"
Snowy Valleys (A),7080,"8,960","14,395"
Strathfield (A),7100,4,"40,312"
Sutherland Shire (A),7150,370,"218,464"
Sydney (C),7200,25,"208,374"
Tamworth Regional (A),7310,"9,892","59,663"
Temora (A),7350,"2,802","6,10"
Tenterfield (A),7400,"7,332","6,628"
Tweed (A),7550,"1,321","91,371"
Unincorporated NSW,9399,"93,300",698
Upper Hunter Shire (A),7620,"8,096","14,12"
Upper Lachlan Shire (A),7640,"7,02","7,695"
Uralla (A),7650,"3,230","6,048"
Wagga Wagga (C),7750,"4,826","62,385"
Walcha (A),7850,"2,621","3,092"
Walgett (A),7900,"22,336","6,07"
Warren (A),7950,"10,760","2,732"
Warrumbungle Shire (A),8020,"12,380","9,384"
Waverley (A),8050,9,"66,812"
Weddin (A),8100,"3,410","3,664"
Wentworth (A),8200,"26,269","6,794"
Willoughby (C),8250,23,"74,302"
Wingecarribee (A),8350,"2,689","47,882"
Wollondilly (A),8400,"2,560","48,519"
Wollongong (C),8450,684,"203,630"
Woollahra (A),8500,2,"54,240"
Yass Valley (A),8710,"3,999","16,42"
